	ACTIVITY	ALogP98	ES_Sum_aaCH	ES_Sum_aasC	ES_Sum_dO	ES_Sum_dsCH	ES_Sum_dssC	ES_Sum_sCH3	ES_Sum_ssCH2	ES_Sum_ssO	ES_Sum_sssCH	ES_Count_aaCH	ES_Count_aasC	ES_Count_dsCH	ES_Count_sCH3	ES_Count_ssCH2	ES_Count_sssCH	LogD	Molecular_Weight	Molecular_Mass	Molecular_Solubility	VSA_TotalArea	Num_Atoms	Num_Bonds	Num_Hydrogens	Num_ExplicitHydrogens	Num_ExplicitAtoms	Num_ExplicitBonds	Num_RingBonds	Num_RotatableBonds	Num_AromaticBonds	Num_Rings	Num_AromaticRings	Num_RingAssemblies	Num_Rings6	Num_Chains	Num_ChainAssemblies	Num_StereoBonds	Num_SingleBonds	Num_DoubleBonds	Num_AliphaticSingleBonds	Num_AliphaticDoubleBonds	Num_AtomClasses	Organic_Count	Molecular_SurfaceArea	Molecular_FractionalPolarSurfaceArea	Molecular_SASA	Molecular_FractionalPolarSASA	Molecular_SAVol	BIC	CIC	E_ADJ_equ	E_ADJ_mag	E_DIST_equ	E_DIST_mag	IAC_Mean	IAC_Total	IC	SIC	V_ADJ_equ	V_ADJ_mag	V_DIST_equ	CHI_0	CHI_1	CHI_2	CHI_3_C	CHI_3_P	CHI_V_0	CHI_V_1	CHI_V_2	CHI_V_3_C	CHI_V_3_P	JX	JY	Wiener	Zagreb	Kappa_1	Kappa_1_AM	Kappa_2	Kappa_2_AM	Kappa_3	Kappa_3_AM	PHI	SC_0	SC_1	SC_2	SC_3_C	SC_3_P
107	0	3.303	19.285	1.985	11.563	0.0	-0.195	0.0	0.666	5.193	0.0	10	2	0	0	2	0	3.303	226.27	226.099	-4.064	262.283	17	18	14	14	31	32	12	5	12	2	2	2	2	16	11	0	11	7	5	1	13	17	223.65	0.117	437.893	0.113	386.484	0.53172	1.61822	185.697	240.215	384.911	630.919	1.27979	39.6737	2.46924	0.6041	156.739	186.117	976.142	11.9244	8.34333	6.92629	0.69692	5.2529	9.50421	5.57894	3.80865	0.29462	2.43393	1.78051	1.84038	612.0	80	13.4321	11.5523	7.43801	5.96692	5.0176	3.85135	4.05481	17.0	18.0	22.0	3.0	25.0
108	0	2.271	9.653	1.027	10.762	0.0	-0.154	1.785	0.819	4.938	0.0	5	1	0	1	2	0	2.271	164.201	164.084	-2.363	201.934	12	12	12	12	24	24	6	4	6	1	1	1	1	14	6	0	8	4	5	1	10	12	173.17	0.151	358.77	0.138	314.23	0.71384	0.72957	102.337	134.606	407.52	982.221	1.32501	31.8003	2.85538	0.79649	93.6032	110.039	427.463	8.81155	5.82569	4.5948	0.49279	3.48938	7.11746	4.02182	2.49983	0.17677	1.53132	2.30777	2.40956	226.0	52	10.0833	8.94216	5.61224	4.67214	4.0	3.20521	3.48159	12.0	12.0	14.0	2.0	15.0
121	0	1.349	0.0	0.0	10.096	0.0	-0.182	3.485	2.623	4.643	0.0	0	0	0	2	3	0	1.349	116.158	116.084	-1.248	162.978	8	7	12	12	20	19	0	4	0	0	0	0	0	14	1	0	6	1	6	1	8	8	138.78	0.189	304.427	0.162	262.487	0.91666	0.25	42.2929	53.303	121.437	253.7	1.29546	25.9092	2.75	0.91666	48.5042	53.303	172.665	6.40577	3.77005	2.88962	0.40824	1.38502	5.43781	2.90403	1.69359	0.08333	0.80321	2.66055	2.87512	79.0	28	8.0	7.63	5.14285	4.78082	7.19999	6.84598	4.55971	8.0	7.0	7.0	1.0	5.0
128	0	2.472	0.0	0.0	10.695	0.0	-0.06	4.05	4.096	4.883	0.0	0	0	0	2	5	0	2.472	144.211	144.115	-1.942	205.764	10	9	16	16	26	25	0	6	0	0	0	0	0	18	1	0	8	1	8	1	10	10	170.6	0.154	353.987	0.139	303.51	0.75917	0.79999	61.9006	75.0586	225.418	481.064	1.2389	32.2114	2.52192	0.75917	68.0077	75.0586	296.527	7.81999	4.80806	3.38962	0.28867	2.08195	6.85202	3.96469	2.32402	0.05892	1.21506	2.90548	3.10027	150.0	36	10.0	9.63	7.11111	6.74587	7.0	6.63	6.49627	10.0	9.0	9.0	1.0	8.0
133	0	5.186	0.0	0.0	11.144	3.495	-0.193	4.297	9.919	5.001	0.0	0	0	2	2	9	0	5.186	226.355	226.193	-5.065	325.781	16	15	26	26	42	41	0	11	0	0	0	0	0	28	1	1	13	2	13	2	16	16	262.37	0.1	496.206	0.099	424.294	0.68028	1.21936	127.465	147.207	802.436	630.919	1.16578	48.9629	2.78063	0.69515	133.433	147.207	939.732	12.0626	7.80806	5.51094	0.28867	3.60095	10.8352	6.64139	4.1263	0.04811	2.47048	3.18636	3.30433	635.0	60	16.0	15.37	13.0667	12.4396	13.0	12.37	11.9498	16.0	15.0	15.0	1.0	14.0
139	0	3.841	0.0	0.0	11.058	0.0	-0.024	4.258	7.849	5.023	0.0	0	0	0	2	8	0	3.841	186.291	186.162	-3.404	269.944	13	12	22	22	35	34	0	9	0	0	0	0	0	24	1	0	11	1	11	1	13	13	218.49	0.12	428.327	0.115	365.045	0.63393	1.35458	93.6032	110.039	463.277	976.293	1.18181	41.3637	2.34585	0.63393	99.6227	110.039	566.431	9.94131	6.30806	4.45028	0.28867	2.85095	8.97334	5.46469	3.38468	0.05892	1.99539	2.99415	3.14125	334.0	48	13.0	12.63	10.0833	9.71598	9.91735	9.54477	9.43945	13.0	12.0	12.0	1.0	11.0
140	0	3.385	0.0	0.0	10.97	0.0	-0.031	4.215	6.521	4.99	0.0	0	0	0	2	7	0	3.385	172.265	172.146	-2.894	248.551	12	11	20	20	32	31	0	8	0	0	0	0	0	22	1	0	10	1	10	1	12	12	202.53	0.129	403.547	0.122	344.534	0.67456	1.16666	82.7686	98.1075	372.711	789.817	1.19819	38.3421	2.41829	0.67456	88.8118	98.1075	464.925	9.2342	5.80806	4.09673	0.28867	2.60095	8.26624	4.96469	3.03113	0.05892	1.74539	2.98084	3.14321	261.0	44	12.0	11.63	9.0909	8.72407	9.0	8.63	8.45508	12.0	11.0	11.0	1.0	10.0
143	0	2.479	0.0	0.0	10.795	0.0	-0.09	5.755	2.622	4.904	0.01	0	0	0	3	3	1	2.479	144.211	144.115	-1.889	205.764	10	9	16	16	26	25	0	5	0	0	0	0	0	19	1	0	8	1	8	1	9	10	172.21	0.152	344.295	0.143	295.048	0.87958	0.39999	65.3143	86.4386	215.262	481.251	1.2389	32.2114	2.92192	0.87958	68.0077	75.0586	286.372	7.98312	4.68073	3.71708	0.56903	2.40109	7.01516	3.8474	2.67575	0.33678	1.21361	3.06871	3.27261	143.0	38	10.0	9.63	5.76	5.4176	5.53086	5.18252	5.21715	10.0	9.0	10.0	2.0	9.0
144	0	2.724	0.0	0.0	10.906	0.0	-0.062	6.109	3.185	4.954	0.406	0	0	0	3	4	1	2.724	158.238	158.131	-2.209	227.158	11	10	18	18	29	28	0	6	0	0	0	0	0	21	1	0	9	1	9	1	10	11	188.29	0.139	369.074	0.134	315.559	0.89488	0.36363	76.0167	98.1075	283.193	625.369	1.21701	35.2935	3.09579	0.89488	78.2645	86.4386	364.717	8.69023	5.1639	4.2305	0.69692	2.17425	7.72227	4.32053	3.17199	0.46717	1.33585	3.08907	3.27461	192.0	42	11.0	10.63	6.69421	6.34718	7.90123	7.52755	6.13369	11.0	10.0	11.0	2.0	9.0
147	0	6.122	0.0	0.0	11.302	0.0	-0.008	4.355	14.901	5.115	0.0	0	0	0	2	13	0	6.122	256.424	256.24	-6.078	376.91	18	17	32	32	50	49	0	14	0	0	0	0	0	34	1	0	16	1	16	1	18	18	298.32	0.088	552.226	0.089	467.604	0.47748	2.17884	151.02	172.974	384.911	630.919	1.12385	56.1928	1.99107	0.47748	156.964	172.974	467.0925	13.4768	8.80805	6.21805	0.28867	4.10095	12.5089	7.96468	5.15245	0.05892	3.24539	3.00595	3.09955	914.0	68	18.0	17.63	15.0588	14.6901	15.0	14.63	14.3882	18.0	17.0	17.0	1.0	16.0
